method,return_type,return_description
java.lang.management.ManagementFactory.getThreadMXBean(),ThreadMXBean,a ThreadMXBean object for the Java virtual machine.
java.lang.management.ManagementFactory.getRuntimeMXBean(),RuntimeMXBean,a RuntimeMXBean object for the Java virtual machine.
java.lang.management.ManagementFactory.getCompilationMXBean(),CompilationMXBean,a CompilationMXBean object for the Java virtual machine or null if the Java virtual machine has no compilation system.
java.lang.management.ManagementFactory.getOperatingSystemMXBean(),OperatingSystemMXBean,an OperatingSystemMXBean object for the Java virtual machine.
java.lang.management.ManagementFactory.getMemoryPoolMXBeans(),List&lt;MemoryPoolMXBean&gt;,a list of MemoryPoolMXBean objects.
java.lang.management.ManagementFactory.getMemoryManagerMXBeans(),List&lt;MemoryManagerMXBean&gt;,a list of MemoryManagerMXBean objects.
java.lang.management.ManagementFactory.getGarbageCollectorMXBeans(),List&lt;GarbageCollectorMXBean&gt;,a list of GarbageCollectorMXBean objects.
java.lang.management.ManagementFactory.getPlatformMBeanServer(),MBeanServer,the platform MBeanServer; the platform MXBeans are registered into the platform MBeanServer at the first time this method is called.
"java.lang.management.ManagementFactory.newPlatformMXBeanProxy(MBeanServerConnection,String,Class&lt;T&gt;)",&lt;T&gt;T,
java.lang.management.ManagementFactory.getPlatformMXBean(Class&lt;T&gt;),&lt;T extends PlatformManagedObject&gt;T,"the platform MXBean that implements mxbeanInterface, or null if not exist."
java.lang.management.ManagementFactory.getPlatformMXBeans(Class&lt;T&gt;),&lt;T extends PlatformManagedObject&gt;List&lt;T&gt;,the list of platform MXBeans that implement mxbeanInterface.
"java.lang.management.ManagementFactory.getPlatformMXBean(MBeanServerConnection,Class&lt;T&gt;)",&lt;T extends PlatformManagedObject&gt;T,"the platform MXBean proxy for forwarding the method calls of the mxbeanInterface through the given MBeanServerConnection, or null if not exist."
"java.lang.management.ManagementFactory.getPlatformMXBeans(MBeanServerConnection,Class&lt;T&gt;)",&lt;T extends PlatformManagedObject&gt;List&lt;T&gt;,the list of platform MXBean proxies for forwarding the method calls of the mxbeanInterface through the given MBeanServerConnection.
java.lang.management.ManagementFactory.getPlatformManagementInterfaces(),Set&lt;Class&lt;? extends PlatformManagedObject&gt;&gt;,"the set of Class objects, subinterface of PlatformManagedObject representing the management interfaces for monitoring and managing the Java platform."
java.lang.management.MemoryNotificationInfo.getPoolName(),String,the name of the memory pool that triggers this notification.
java.lang.management.MemoryNotificationInfo.getUsage(),MemoryUsage,the memory usage of the memory pool when this notification was constructed.
java.lang.management.MemoryNotificationInfo.getCount(),long,the number of times that the memory usage has crossed a threshold when the notification was constructed.
java.lang.management.MemoryNotificationInfo.from(CompositeData),MemoryNotificationInfo,a MemoryNotificationInfo object represented by cd if cd is not null; null otherwise.
java.lang.management.MemoryUsage.getInit(),long,the initial size of memory in bytes; -1 if undefined.
java.lang.management.MemoryUsage.getUsed(),long,the amount of used memory in bytes.
java.lang.management.MemoryUsage.getCommitted(),long,the amount of committed memory in bytes.
java.lang.management.MemoryUsage.getMax(),long,the maximum amount of memory in bytes; -1 if undefined.
java.lang.management.MemoryUsage.toString(),String,a string representation of the object.
java.lang.management.MemoryUsage.from(CompositeData),MemoryUsage,a MemoryUsage object represented by cd if cd is not null; null otherwise.
java.lang.management.MonitorInfo.getLockedStackDepth(),int,"the depth in the stack trace where the object monitor was locked, or a negative number if not available."
java.lang.management.MonitorInfo.getLockedStackFrame(),StackTraceElement,"StackTraceElement that locked the object monitor, or null if not available."
java.lang.management.MonitorInfo.from(CompositeData),MonitorInfo,a MonitorInfo object represented by cd if cd is not null; null otherwise.
java.lang.management.ThreadInfo.getThreadId(),long,the ID of the associated thread.
java.lang.management.ThreadInfo.getThreadName(),String,the name of the associated thread.
java.lang.management.ThreadInfo.getThreadState(),Thread.State,Thread.State of the associated thread.
java.lang.management.ThreadInfo.getBlockedTime(),long,the approximate accumulated elapsed time in milliseconds that a thread entered the BLOCKED state; -1 if thread contention monitoring is disabled.
java.lang.management.ThreadInfo.getBlockedCount(),long,the total number of times that the thread entered the BLOCKED state.
java.lang.management.ThreadInfo.getWaitedTime(),long,the approximate accumulated elapsed time in milliseconds that a thread has been in the WAITING or TIMED_WAITING state; -1 if thread contention monitoring is disabled.
java.lang.management.ThreadInfo.getWaitedCount(),long,the total number of times that the thread was in the WAITING or TIMED_WAITING state.
java.lang.management.ThreadInfo.getLockInfo(),LockInfo,
java.lang.management.ThreadInfo.getLockName(),String,the string representation of the object on which the thread is blocked if any; null otherwise.
java.lang.management.ThreadInfo.getLockOwnerId(),long,the thread ID of the owner thread of the object this thread is blocked on; -1 if this thread is not blocked or if the object is not owned by any thread.
java.lang.management.ThreadInfo.getLockOwnerName(),String,the name of the thread that owns the object this thread is blocked on; null if this thread is not blocked or if the object is not owned by any thread.
java.lang.management.ThreadInfo.getStackTrace(),StackTraceElement[],an array of StackTraceElement objects of the thread.
java.lang.management.ThreadInfo.isSuspended(),boolean,true if the thread is suspended; false otherwise.
java.lang.management.ThreadInfo.isInNative(),boolean,true if the thread is executing native code; false otherwise.
java.lang.management.ThreadInfo.toString(),String,a string representation of this thread info.
java.lang.management.ThreadInfo.from(CompositeData),ThreadInfo,a ThreadInfo object represented by cd if cd is not null; null otherwise.
java.lang.management.ThreadInfo.getLockedMonitors(),MonitorInfo[],an array of MonitorInfo objects representing the object monitors locked by the thread.
java.lang.management.ThreadInfo.getLockedSynchronizers(),LockInfo[],an array of LockInfo objects representing the ownable synchronizers locked by the thread.
java.lang.ref.PhantomReference.get(),T,null
java.lang.ref.Reference.get(),T,"The object to which this reference refers, or null if this reference object has been cleared"
java.lang.ref.Reference.clear(),void,
java.lang.ref.Reference.isEnqueued(),boolean,true if and only if this reference object has been enqueued
java.lang.ref.Reference.enqueue(),boolean,true if this reference object was successfully enqueued; false if it was already enqueued or if it was not registered with a queue when it was created
java.lang.ref.ReferenceQueue.poll(),Reference&lt;? extends T&gt;,"A reference object, if one was immediately available, otherwise null"
java.lang.ref.ReferenceQueue.remove(long),Reference&lt;? extends T&gt;,"A reference object, if one was available within the specified timeout period, otherwise null"
java.lang.ref.ReferenceQueue.remove(),Reference&lt;? extends T&gt;,"A reference object, blocking until one becomes available"
java.lang.ref.SoftReference.get(),T,"The object to which this reference refers, or null if this reference object has been cleared"
"java.lang.reflect.AccessibleObject.setAccessible(AccessibleObject[],boolean)",void,
java.lang.reflect.AccessibleObject.setAccessible(boolean),void,
java.lang.reflect.AccessibleObject.isAccessible(),boolean,the value of the object's accessible flag
java.lang.reflect.AccessibleObject.getAnnotation(Class&lt;T&gt;),&lt;T extends Annotation&gt;T,"this element's annotation for the specified annotation type if present on this element, else null"
java.lang.reflect.AccessibleObject.isAnnotationPresent(Class&lt;?),boolean,"true if an annotation for the specified annotation type is present on this element, else false"
java.lang.reflect.AccessibleObject.getAnnotationsByType(Class&lt;T&gt;),&lt;T extends Annotation&gt;T[],"all this element's annotations for the specified annotation type if associated with this element, else an array of length zero"
java.lang.reflect.AccessibleObject.getAnnotations(),Annotation[],annotations present on this element
java.lang.reflect.AccessibleObject.getDeclaredAnnotation(Class&lt;T&gt;),&lt;T extends Annotation&gt;T,"this element's annotation for the specified annotation type if directly present on this element, else null"
java.lang.reflect.AccessibleObject.getDeclaredAnnotationsByType(Class&lt;T&gt;),&lt;T extends Annotation&gt;T[],"all this element's annotations for the specified annotation type if directly or indirectly present on this element, else an array of length zero"
java.lang.reflect.AccessibleObject.getDeclaredAnnotations(),Annotation[],annotations directly present on this element
"java.lang.reflect.Array.newInstance(Class&lt;?&gt;,int)",Object,the new array
"java.lang.reflect.Array.newInstance(Class&lt;?&gt;,int...)",Object,the new array
java.lang.reflect.Array.getLength(Object),int,the length of the array
"java.lang.reflect.Array.get(Object,int)",Object,the (possibly wrapped) value of the indexed component in the specified array
"java.lang.reflect.Array.getBoolean(Object,int)",boolean,the value of the indexed component in the specified array
"java.lang.reflect.Array.getByte(Object,int)",byte,the value of the indexed component in the specified array
"java.lang.reflect.Array.getChar(Object,int)",char,the value of the indexed component in the specified array
"java.lang.reflect.Array.getShort(Object,int)",short,the value of the indexed component in the specified array
"java.lang.reflect.Array.getInt(Object,int)",int,the value of the indexed component in the specified array
"java.lang.reflect.Array.getLong(Object,int)",long,the value of the indexed component in the specified array
"java.lang.reflect.Array.getFloat(Object,int)",float,the value of the indexed component in the specified array
"java.lang.reflect.Array.getDouble(Object,int)",double,the value of the indexed component in the specified array
"java.lang.reflect.Array.set(Object,int,Object)",void,
"java.lang.reflect.Array.setBoolean(Object,int,boolean)",void,
