method,throws,throws_description
java.awt.image.renderable.ParameterBlock.getLongParameter(int),ClassCastException , if the parameter at the specified index is not a Long
java.awt.image.renderable.ParameterBlock.getFloatParameter(int),ClassCastException , if the parameter at the specified index is not a Float
java.awt.image.renderable.ParameterBlock.getDoubleParameter(int),ClassCastException , if the parameter at the specified index is not a Double
java.awt.print.Book.getPageFormat(int),IndexOutOfBoundsException , if the Pageable does not contain the requested page
java.awt.print.Book.getPrintable(int),IndexOutOfBoundsException , if the Pageable does not contain the requested page
"java.awt.print.Book.setPage(int,Printable,PageFormat)",IndexOutOfBoundsException , if the specified page is not already in this Book
"java.awt.print.Book.append(Printable,PageFormat)",NullPointerException , If the painter or page argument is null
"java.awt.print.Book.append(Printable,PageFormat,int)",NullPointerException , If the painter or page argument is null
java.awt.print.PageFormat.setPaper(Paper),NullPointerException , a null paper instance was passed as a parameter.
java.awt.print.PageFormat.setOrientation(int),IllegalArgumentException , if an unknown orientation was requested
java.awt.print.PrinterJob.getPrinterJob(),SecurityException , if a security manager exists and its SecurityManager.checkPrintJobAccess() method disallows this thread from creating a print job request
java.awt.print.PrinterJob.setPrintService(PrintService),PrinterException ," if the specified service does not support 2D printing, or this PrinterJob class does not support setting a 2D print service, or the specified service is otherwise not a valid print service."
java.awt.print.PrinterJob.setPageable(Pageable),NullPointerException , the Pageable passed in was null.
java.awt.print.PrinterJob.printDialog(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true.
java.awt.print.PrinterJob.printDialog(PrintRequestAttributeSet),HeadlessException , if GraphicsEnvironment.isHeadless() returns true.
java.awt.print.PrinterJob.pageDialog(PageFormat),HeadlessException , if GraphicsEnvironment.isHeadless() returns true.
java.awt.print.PrinterJob.pageDialog(PrintRequestAttributeSet),HeadlessException , if GraphicsEnvironment.isHeadless() returns true.
java.awt.print.PrinterJob.print(),PrinterException , an error in the print system caused the job to be aborted.
java.awt.print.PrinterJob.print(PrintRequestAttributeSet),PrinterException , an error in the print system caused the job to be aborted.
"java.beans.Beans.instantiate(ClassLoader,String)",ClassNotFoundException , if the class of a serialized object could not be found.
"java.beans.Beans.instantiate(ClassLoader,String,BeanContext)",ClassNotFoundException , if the class of a serialized object could not be found.
"java.beans.Beans.instantiate(ClassLoader,String,BeanContext,AppletInitializer)",ClassNotFoundException , if the class of a serialized object could not be found.
java.beans.Beans.setDesignTime(boolean),SecurityException , if a security manager exists and its checkPropertiesAccess method doesn't allow setting of system properties.
java.beans.Beans.setGuiAvailable(boolean),SecurityException , if a security manager exists and its checkPropertiesAccess method doesn't allow setting of system properties.
"java.beans.DefaultPersistenceDelegate.instantiate(Object,Encoder)",NullPointerException , if out is null and this value is used in the method
"java.beans.DefaultPersistenceDelegate.initialize(Class&lt;?&gt;,Object,Object,Encoder)",NullPointerException , if out is null
"java.beans.EventHandler.create(Class&lt;T&gt;,Object,String)",NullPointerException , if listenerInterface is null
"java.beans.EventHandler.create(Class&lt;T&gt;,Object,String,String)",NullPointerException , if listenerInterface is null
"java.beans.EventHandler.create(Class&lt;T&gt;,Object,String,String,String)",NullPointerException , if listenerInterface is null
java.beans.Expression.getValue(),Exception , if the method with the specified methodName throws an exception
java.beans.IndexedPropertyDescriptor.setIndexedReadMethod(Method),IntrospectionException , if an exception occurs during introspection.
java.beans.IndexedPropertyDescriptor.setIndexedWriteMethod(Method),IntrospectionException , if an exception occurs during introspection.
java.beans.Introspector.getBeanInfo(Class&lt;?&gt;),IntrospectionException , if an exception occurs during introspection.
"java.beans.Introspector.getBeanInfo(Class&lt;?&gt;,int)",IntrospectionException , if an exception occurs during introspection.
"java.beans.Introspector.getBeanInfo(Class&lt;?&gt;,Class&lt;?&gt;)",IntrospectionException , if an exception occurs during introspection.
"java.beans.Introspector.getBeanInfo(Class&lt;?&gt;,Class&lt;?&gt;,int)",IntrospectionException , if an exception occurs during introspection
java.beans.Introspector.setBeanInfoSearchPath(String[]),SecurityException , if a security manager exists and its checkPropertiesAccess method doesn't allow setting of system properties.
java.beans.Introspector.flushFromCaches(Class&lt;?&gt;),NullPointerException , If the Class object is null.
"java.beans.PersistenceDelegate.writeObject(Object,Encoder)",NullPointerException , if out is null
"java.beans.PersistenceDelegate.instantiate(Object,Encoder)",NullPointerException , if out is null and this value is used in the method
"java.beans.PersistenceDelegate.initialize(Class&lt;?&gt;,Object,Object,Encoder)",NullPointerException , if out is null
java.beans.PropertyDescriptor.setReadMethod(Method),IntrospectionException , if the read method is invalid
java.beans.PropertyDescriptor.setWriteMethod(Method),IntrospectionException , if the write method is invalid
"java.beans.PropertyEditorManager.registerEditor(Class&lt;?&gt;,Class&lt;?&gt;)",SecurityException , if a security manager exists and its checkPropertiesAccess method doesn't allow setting of system properties
java.beans.PropertyEditorManager.setEditorSearchPath(String[]),SecurityException , if a security manager exists and its checkPropertiesAccess method doesn't allow setting of system properties.
java.beans.PropertyEditorSupport.setAsText(String),IllegalArgumentException,
java.beans.VetoableChangeListenerProxy.vetoableChange(PropertyChangeEvent),PropertyVetoException , if the recipient wishes the property change to be rolled back
"java.beans.VetoableChangeSupport.fireVetoableChange(String,Object,Object)",PropertyVetoException , if one of listeners vetoes the property update
"java.beans.VetoableChangeSupport.fireVetoableChange(String,int,int)",PropertyVetoException , if one of listeners vetoes the property update
"java.beans.VetoableChangeSupport.fireVetoableChange(String,boolean,boolean)",PropertyVetoException , if one of listeners vetoes the property update
java.beans.VetoableChangeSupport.fireVetoableChange(PropertyChangeEvent),PropertyVetoException , if one of listeners vetoes the property update
java.beans.XMLDecoder.readObject(),ArrayIndexOutOfBoundsException , if the stream contains no objects (or no more objects)
java.beans.beancontext.BeanContextChildSupport.setBeanContext(BeanContext),PropertyVetoException , if the change is rejected
"java.beans.beancontext.BeanContextChildSupport.fireVetoableChange(String,Object,Object)",PropertyVetoException , if the recipient wishes the property change to be rolled back.
java.beans.beancontext.BeanContextServicesSupport.addBeanContextServicesListener(BeanContextServicesListener),NullPointerException , if the argument is null
"java.beans.beancontext.BeanContextServicesSupport.getService(BeanContextChild,Object,Class,Object,BeanContextServiceRevokedListener)",TooManyListenersException , if there are too many listeners
java.beans.beancontext.BeanContextServicesSupport.bcsPreSerializationHook(ObjectOutputStream),IOException , if serialization failed
java.beans.beancontext.BeanContextServicesSupport.bcsPreDeserializationHook(ObjectInputStream),IOException , if deserialization failed
java.beans.beancontext.BeanContextSupport.instantiateChild(String),IOException , if there is an I/O error when the bean is being deserialized
java.beans.beancontext.BeanContextSupport.addAll(Collection),UnsupportedOperationException , thrown unconditionally by this implementation
java.beans.beancontext.BeanContextSupport.removeAll(Collection),UnsupportedOperationException , thrown unconditionally by this implementation
java.beans.beancontext.BeanContextSupport.retainAll(Collection),UnsupportedOperationException , thrown unconditionally by this implementation
java.beans.beancontext.BeanContextSupport.clear(),UnsupportedOperationException , thrown unconditionally by this implementation
java.beans.beancontext.BeanContextSupport.addBeanContextMembershipListener(BeanContextMembershipListener),NullPointerException , if the argument is null
java.beans.beancontext.BeanContextSupport.removeBeanContextMembershipListener(BeanContextMembershipListener),NullPointerException , if the argument is null
"java.beans.beancontext.BeanContextSupport.getResourceAsStream(String,BeanContextChild)",NullPointerException , if the argument is null
java.beans.beancontext.BeanContextSupport.setLocale(Locale),PropertyVetoException , if the new value is rejected
java.beans.beancontext.BeanContextSupport.bcsPreSerializationHook(ObjectOutputStream),IOException , if serialization failed
java.beans.beancontext.BeanContextSupport.bcsPreDeserializationHook(ObjectInputStream),IOException , if deserialization failed
"java.beans.beancontext.BeanContextSupport.serialize(ObjectOutputStream,Collection)",IOException , if serialization failed
"java.beans.beancontext.BeanContextSupport.deserialize(ObjectInputStream,Collection)",IOException , if deserialization failed
