method,type,parameter,parameter_description
"java.rmi.activation.ActivationGroup.activeObject(ActivationID,Remote)",ActivationID,"java.rmi.activation.ActivationGroup.activeObject(ActivationID,Remote).id ", the object's identifier
"java.rmi.activation.ActivationGroup.activeObject(ActivationID,Remote)",Remote,"java.rmi.activation.ActivationGroup.activeObject(ActivationID,Remote).obj ", the remote object implementation
"java.rmi.activation.ActivationGroup.createGroup(ActivationGroupID,ActivationGroupDesc,long)",ActivationGroupID,"java.rmi.activation.ActivationGroup.createGroup(ActivationGroupID,ActivationGroupDesc,long).id ", the activation group's identifier
"java.rmi.activation.ActivationGroup.createGroup(ActivationGroupID,ActivationGroupDesc,long)",ActivationGroupDesc,"java.rmi.activation.ActivationGroup.createGroup(ActivationGroupID,ActivationGroupDesc,long).desc ", the activation group's descriptor
"java.rmi.activation.ActivationGroup.createGroup(ActivationGroupID,ActivationGroupDesc,long)",long,"java.rmi.activation.ActivationGroup.createGroup(ActivationGroupID,ActivationGroupDesc,long).incarnation ", the group's incarnation number (zero on group's initial creation)
java.rmi.activation.ActivationGroup.setSystem(ActivationSystem),ActivationSystem,java.rmi.activation.ActivationGroup.setSystem(ActivationSystem).system , remote reference to the ActivationSystem
"java.rmi.activation.ActivationGroup.activeObject(ActivationID,MarshalledObject&lt;?)",ActivationID,"java.rmi.activation.ActivationGroup.activeObject(ActivationID,MarshalledObject&lt;?).id ", the object's identifier
"java.rmi.activation.ActivationGroup.activeObject(ActivationID,MarshalledObject&lt;?)",MarshalledObject&lt;?,"java.rmi.activation.ActivationGroup.activeObject(ActivationID,MarshalledObject&lt;?).mobj ", a marshalled object containing the remote object's stub
"java.rmi.activation.ActivationGroup_Stub.newInstance(ActivationID,ActivationDesc)",ActivationID,"java.rmi.activation.ActivationGroup_Stub.newInstance(ActivationID,ActivationDesc).id ", an activation identifier
"java.rmi.activation.ActivationGroup_Stub.newInstance(ActivationID,ActivationDesc)",ActivationDesc,"java.rmi.activation.ActivationGroup_Stub.newInstance(ActivationID,ActivationDesc).desc ", an activation descriptor
java.rmi.activation.ActivationGroupDesc.equals(Object),Object,java.rmi.activation.ActivationGroupDesc.equals(Object).obj , the Object to compare with
java.rmi.activation.ActivationGroupDesc.CommandEnvironment.equals(Object),Object,java.rmi.activation.ActivationGroupDesc.CommandEnvironment.equals(Object).obj , the Object to compare with
java.rmi.activation.ActivationGroupID.equals(Object),Object,java.rmi.activation.ActivationGroupID.equals(Object).obj , the Object to compare with
java.rmi.activation.ActivationID.activate(boolean),boolean,java.rmi.activation.ActivationID.activate(boolean).force ," if true, forces the activator to contact the group when activating the object (instead of returning a cached reference); if false, returning a cached value is acceptable."
java.rmi.activation.ActivationID.equals(Object),Object,java.rmi.activation.ActivationID.equals(Object).obj , the Object to compare with
java.rmi.dgc.VMID.equals(Object),Object,java.rmi.dgc.VMID.equals(Object).obj , the reference object with which to compare.
java.rmi.registry.LocateRegistry.getRegistry(int),int,java.rmi.registry.LocateRegistry.getRegistry(int).port , port on which the registry accepts requests
java.rmi.registry.LocateRegistry.getRegistry(String),String,java.rmi.registry.LocateRegistry.getRegistry(String).host , host for the remote registry
"java.rmi.registry.LocateRegistry.getRegistry(String,int)",String,"java.rmi.registry.LocateRegistry.getRegistry(String,int).host ", host for the remote registry
"java.rmi.registry.LocateRegistry.getRegistry(String,int)",int,"java.rmi.registry.LocateRegistry.getRegistry(String,int).port ", port on which the registry accepts requests
"java.rmi.registry.LocateRegistry.getRegistry(String,int,RMIClientSocketFactory)",String,"java.rmi.registry.LocateRegistry.getRegistry(String,int,RMIClientSocketFactory).host ", host for the remote registry
"java.rmi.registry.LocateRegistry.getRegistry(String,int,RMIClientSocketFactory)",int,"java.rmi.registry.LocateRegistry.getRegistry(String,int,RMIClientSocketFactory).port ", port on which the registry accepts requests
"java.rmi.registry.LocateRegistry.getRegistry(String,int,RMIClientSocketFactory)",RMIClientSocketFactory,"java.rmi.registry.LocateRegistry.getRegistry(String,int,RMIClientSocketFactory).csf ", client
java.rmi.registry.LocateRegistry.createRegistry(int),int,java.rmi.registry.LocateRegistry.createRegistry(int).port , the port on which the registry accepts requests
"java.rmi.registry.LocateRegistry.createRegistry(int,RMIClientSocketFactory,RMIServerSocketFactory)",int,"java.rmi.registry.LocateRegistry.createRegistry(int,RMIClientSocketFactory,RMIServerSocketFactory).port ", port on which the registry accepts requests
"java.rmi.registry.LocateRegistry.createRegistry(int,RMIClientSocketFactory,RMIServerSocketFactory)",RMIClientSocketFactory,"java.rmi.registry.LocateRegistry.createRegistry(int,RMIClientSocketFactory,RMIServerSocketFactory).csf ", client
"java.rmi.registry.LocateRegistry.createRegistry(int,RMIClientSocketFactory,RMIServerSocketFactory)",RMIServerSocketFactory,"java.rmi.registry.LocateRegistry.createRegistry(int,RMIClientSocketFactory,RMIServerSocketFactory).ssf ", server
java.rmi.server.LogStream.log(String),String,java.rmi.server.LogStream.log(String).name , name identifying the desired LogStream
java.rmi.server.LogStream.setDefaultStream(PrintStream),PrintStream,java.rmi.server.LogStream.setDefaultStream(PrintStream).newDefault , new default log stream
java.rmi.server.LogStream.setOutputStream(OutputStream),OutputStream,java.rmi.server.LogStream.setOutputStream(OutputStream).out , new output stream for this log
java.rmi.server.LogStream.write(int),int,java.rmi.server.LogStream.write(int).b , The byte to be written
"java.rmi.server.LogStream.write(byte[],int,int)",byte[],"java.rmi.server.LogStream.write(byte[],int,int).b ", A byte array
"java.rmi.server.LogStream.write(byte[],int,int)",int,"java.rmi.server.LogStream.write(byte[],int,int).off ", Offset from which to start taking bytes
"java.rmi.server.LogStream.write(byte[],int,int)",int,"java.rmi.server.LogStream.write(byte[],int,int).len ", Number of bytes to write
java.rmi.server.LogStream.parseLevel(String),String,java.rmi.server.LogStream.parseLevel(String).s ," name of logging level (e.g., 'SILENT', 'BRIEF', 'VERBOSE')"
java.rmi.server.ObjID.write(ObjectOutput),ObjectOutput,java.rmi.server.ObjID.write(ObjectOutput).out , the ObjectOutput instance to write this ObjID to
java.rmi.server.ObjID.read(ObjectInput),ObjectInput,java.rmi.server.ObjID.read(ObjectInput).in , the ObjectInput instance to read ObjID from
java.rmi.server.ObjID.equals(Object),Object,java.rmi.server.ObjID.equals(Object).obj , the object to compare this ObjID to
java.rmi.server.RemoteObject.toStub(Remote),Remote,java.rmi.server.RemoteObject.toStub(Remote).obj , the remote object whose stub is needed
java.rmi.server.RemoteObject.equals(Object),Object,java.rmi.server.RemoteObject.equals(Object).obj , the Object to compare with
java.rmi.server.RemoteServer.setLog(OutputStream),OutputStream,java.rmi.server.RemoteServer.setLog(OutputStream).out , the output stream to which RMI calls should be logged
"java.rmi.server.RemoteStub.setRef(RemoteStub,RemoteRef)",RemoteStub,"java.rmi.server.RemoteStub.setRef(RemoteStub,RemoteRef).stub ", the remote stub
"java.rmi.server.RemoteStub.setRef(RemoteStub,RemoteRef)",RemoteRef,"java.rmi.server.RemoteStub.setRef(RemoteStub,RemoteRef).ref ", the remote reference
java.rmi.server.RMIClassLoader.loadClass(String),String,java.rmi.server.RMIClassLoader.loadClass(String).name , the name of the class to load
"java.rmi.server.RMIClassLoader.loadClass(URL,String)",URL,"java.rmi.server.RMIClassLoader.loadClass(URL,String).codebase "," the URL to load the class from, or null"
"java.rmi.server.RMIClassLoader.loadClass(URL,String)",String,"java.rmi.server.RMIClassLoader.loadClass(URL,String).name ", the name of the class to load
"java.rmi.server.RMIClassLoader.loadClass(String,String)",String,"java.rmi.server.RMIClassLoader.loadClass(String,String).codebase "," the list of URLs (separated by spaces) to load the class from, or null"
"java.rmi.server.RMIClassLoader.loadClass(String,String)",String,"java.rmi.server.RMIClassLoader.loadClass(String,String).name ", the name of the class to load
"java.rmi.server.RMIClassLoader.loadClass(String,String,ClassLoader)",String,"java.rmi.server.RMIClassLoader.loadClass(String,String,ClassLoader).codebase "," the list of URLs (separated by spaces) to load the class from, or null"
"java.rmi.server.RMIClassLoader.loadClass(String,String,ClassLoader)",String,"java.rmi.server.RMIClassLoader.loadClass(String,String,ClassLoader).name ", the name of the class to load
"java.rmi.server.RMIClassLoader.loadClass(String,String,ClassLoader)",ClassLoader,"java.rmi.server.RMIClassLoader.loadClass(String,String,ClassLoader).defaultLoader "," additional contextual class loader to use, or null"
"java.rmi.server.RMIClassLoader.loadProxyClass(String,String[],ClassLoader)",String,"java.rmi.server.RMIClassLoader.loadProxyClass(String,String[],ClassLoader).codebase ", the list of URLs (space
"java.rmi.server.RMIClassLoader.loadProxyClass(String,String[],ClassLoader)",String[],"java.rmi.server.RMIClassLoader.loadProxyClass(String,String[],ClassLoader).interfaces ", the names of the interfaces for the proxy class to implement
"java.rmi.server.RMIClassLoader.loadProxyClass(String,String[],ClassLoader)",ClassLoader,"java.rmi.server.RMIClassLoader.loadProxyClass(String,String[],ClassLoader).defaultLoader "," additional contextual class loader to use, or null"
java.rmi.server.RMIClassLoader.getClassLoader(String),String,java.rmi.server.RMIClassLoader.getClassLoader(String).codebase , the list of URLs (space
java.rmi.server.RMIClassLoader.getClassAnnotation(Class&lt;?&gt;),Class&lt;?&gt;,java.rmi.server.RMIClassLoader.getClassAnnotation(Class&lt;?&gt;).cl , the class to obtain the annotation for
java.rmi.server.RMIClassLoader.getSecurityContext(ClassLoader),ClassLoader,java.rmi.server.RMIClassLoader.getSecurityContext(ClassLoader).loader , a class loader from which to get the security context
"java.rmi.server.RMIClassLoaderSpi.loadClass(String,String,ClassLoader)",String,"java.rmi.server.RMIClassLoaderSpi.loadClass(String,String,ClassLoader).codebase "," the list of URLs (separated by spaces) to load the class from, or null"
"java.rmi.server.RMIClassLoaderSpi.loadClass(String,String,ClassLoader)",String,"java.rmi.server.RMIClassLoaderSpi.loadClass(String,String,ClassLoader).name ", the name of the class to load
"java.rmi.server.RMIClassLoaderSpi.loadClass(String,String,ClassLoader)",ClassLoader,"java.rmi.server.RMIClassLoaderSpi.loadClass(String,String,ClassLoader).defaultLoader "," additional contextual class loader to use, or null"
"java.rmi.server.RMIClassLoaderSpi.loadProxyClass(String,String[],ClassLoader)",String,"java.rmi.server.RMIClassLoaderSpi.loadProxyClass(String,String[],ClassLoader).codebase ", the list of URLs (space
"java.rmi.server.RMIClassLoaderSpi.loadProxyClass(String,String[],ClassLoader)",String[],"java.rmi.server.RMIClassLoaderSpi.loadProxyClass(String,String[],ClassLoader).interfaces ", the names of the interfaces for the proxy class to implement
"java.rmi.server.RMIClassLoaderSpi.loadProxyClass(String,String[],ClassLoader)",ClassLoader,"java.rmi.server.RMIClassLoaderSpi.loadProxyClass(String,String[],ClassLoader).defaultLoader "," additional contextual class loader to use, or null"
java.rmi.server.RMIClassLoaderSpi.getClassLoader(String),String,java.rmi.server.RMIClassLoaderSpi.getClassLoader(String).codebase , the list of URLs (space
java.rmi.server.RMIClassLoaderSpi.getClassAnnotation(Class&lt;?&gt;),Class&lt;?&gt;,java.rmi.server.RMIClassLoaderSpi.getClassAnnotation(Class&lt;?&gt;).cl , the class to obtain the annotation for
"java.rmi.server.RMISocketFactory.createSocket(String,int)",String,"java.rmi.server.RMISocketFactory.createSocket(String,int).host ", the host name
"java.rmi.server.RMISocketFactory.createSocket(String,int)",int,"java.rmi.server.RMISocketFactory.createSocket(String,int).port ", the port number
java.rmi.server.RMISocketFactory.createServerSocket(int),int,java.rmi.server.RMISocketFactory.createServerSocket(int).port , the port number
java.rmi.server.RMISocketFactory.setSocketFactory(RMISocketFactory),RMISocketFactory,java.rmi.server.RMISocketFactory.setSocketFactory(RMISocketFactory).fac , the socket factory
java.rmi.server.RMISocketFactory.setFailureHandler(RMIFailureHandler),RMIFailureHandler,java.rmi.server.RMISocketFactory.setFailureHandler(RMIFailureHandler).fh , the failure handler
java.rmi.server.UID.equals(Object),Object,java.rmi.server.UID.equals(Object).obj , the object to compare this UID to
java.rmi.server.UID.write(DataOutput),DataOutput,java.rmi.server.UID.write(DataOutput).out , the DataOutput instance to write this UID to
java.rmi.server.UID.read(DataInput),DataInput,java.rmi.server.UID.read(DataInput).in , the DataInput instance to read UID from
java.rmi.server.UnicastRemoteObject.exportObject(Remote),Remote,java.rmi.server.UnicastRemoteObject.exportObject(Remote).obj , the remote object to be exported
"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int)",Remote,"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int).obj ", the remote object to be exported
"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int)",int,"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int).port ", the port to export the object on
"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int,RMIClientSocketFactory,RMIServerSocketFactory)",Remote,"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int,RMIClientSocketFactory,RMIServerSocketFactory).obj ", the remote object to be exported
"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int,RMIClientSocketFactory,RMIServerSocketFactory)",int,"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int,RMIClientSocketFactory,RMIServerSocketFactory).port ", the port to export the object on
"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int,RMIClientSocketFactory,RMIServerSocketFactory)",RMIClientSocketFactory,"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int,RMIClientSocketFactory,RMIServerSocketFactory).csf ", the client
"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int,RMIClientSocketFactory,RMIServerSocketFactory)",RMIServerSocketFactory,"java.rmi.server.UnicastRemoteObject.exportObject(Remote,int,RMIClientSocketFactory,RMIServerSocketFactory).ssf ", the server
